Issue Number,Title,State,Created At,Updated At,Assignee,Labels
4687,unified hover: honor layout.hoverlabel,closed,2020-03-25T21:22:25Z,2020-03-26T19:33:56Z,,bug
4686,missing grid lines and tick labels with range breaks at daily level,closed,2020-03-25T19:44:37Z,2020-03-25T23:24:25Z,archmoj,bug
4685,Set tick value defaults via template,closed,2020-03-25T19:15:53Z,2020-03-25T22:48:06Z,,bug
4684,Handle date heads on axes with rangebreaks,closed,2020-03-25T18:00:34Z,2020-03-25T19:09:47Z,,bug
4683,hoverlabel formatting in unified mode,closed,2020-03-25T15:00:34Z,2020-03-26T19:33:52Z,antoinerg,bug
4682,Incorrect text position with ScatterGL plots,closed,2020-03-25T14:16:24Z,2024-06-17T13:14:22Z,,bug
4681,scatter3d with different marker.size unexpectedly turns on transparency,open,2020-03-25T13:48:31Z,2024-08-09T14:07:17Z,,"bug, P2"
4679,Missing second line (date part) of the tick label on some axes with rangebreaks,closed,2020-03-25T00:39:23Z,2020-03-25T19:09:42Z,archmoj,bug
4677,Improve auto ticks over axes with rangebreaks,closed,2020-03-23T21:41:15Z,2020-03-25T00:41:24Z,,bug
4673,"unable to set tick0, dtick, tickvals, tickmode via template",closed,2020-03-23T14:42:43Z,2020-03-25T22:47:52Z,archmoj,bug
4672,unable to set width and height via template,open,2020-03-23T00:46:51Z,2024-08-09T14:06:52Z,archmoj,"bug, P3"
4671,unable to set various layout components via template,closed,2020-03-23T00:43:19Z,2020-03-23T16:07:37Z,archmoj,bug
4670,Set Cartesian axis attributes via template,closed,2020-03-22T16:45:41Z,2020-03-25T00:35:42Z,,bug
4669,Set unified hovermode via template,closed,2020-03-22T00:56:24Z,2020-03-24T20:44:33Z,,bug
4667,New rangebreaks and unified hover should work from templates,closed,2020-03-20T18:43:20Z,2020-03-25T00:36:35Z,archmoj,bug
4666,"gridlines, ticks and ticklabels within rangebreaks",closed,2020-03-20T18:24:47Z,2020-03-25T00:41:19Z,archmoj,bug
4664,compare/unified hover include all points at same coordinate,closed,2020-03-19T20:02:51Z,2020-03-19T21:01:52Z,,bug
4663,Handle NaN positions in funnel & waterfall and skip connectors over rangebreaks ,closed,2020-03-18T21:50:36Z,2020-03-19T18:21:20Z,,bug
4662,"histogram: in hover labels, harmonize start/end values of shared bins",closed,2020-03-18T19:24:24Z,2020-03-19T01:50:10Z,,bug
4660,Revise operation in rangebreaks ,closed,2020-03-18T03:58:28Z,2020-03-18T15:00:55Z,,bug
4656,compare/unified hover should include all points at same coordinate,closed,2020-03-17T12:23:32Z,2020-03-19T21:01:49Z,antoinerg,bug
4655,Range break semantics,closed,2020-03-17T12:19:26Z,2020-03-24T15:12:46Z,archmoj,"bug, feature"
4653,Revise flags of rangebreak pattern,closed,2020-03-16T20:19:42Z,2020-03-17T23:35:12Z,,bug
4652,revise rangebreak operation default,closed,2020-03-16T18:26:23Z,2020-03-18T16:56:47Z,,bug
4651,"Updatemenus: traces of the same type are similarly updated, despite settings",closed,2020-03-16T16:12:46Z,2022-08-29T01:50:51Z,,bug
4648,stacked histograms have different start/end values on hover ,closed,2020-03-16T13:54:28Z,2020-03-19T01:48:43Z,antoinerg,bug
4647,Multiple extendTraces calls causes axis data to mix,open,2020-03-16T12:35:58Z,2024-08-09T14:05:49Z,,"bug, P3"
4644,Handle hover over rangebreaks for bar-like traces,closed,2020-03-15T23:34:22Z,2020-03-16T17:47:10Z,,bug
4642,Fix to display transparent surface with contours when opacity is less than one ,closed,2020-03-15T04:00:07Z,2020-03-15T13:19:51Z,,bug
4641,rename axis.breaks to axis.rangebreaks,closed,2020-03-14T20:45:59Z,2020-03-14T23:40:22Z,,"bug, feature"
4640,Table Unable to Become Invisible with 'updatemenus' Buttons,open,2020-03-14T16:24:05Z,2024-08-09T14:05:40Z,,"bug, P3"
4639,Fix reverse autorange on cartesian axes with breaks,closed,2020-03-13T19:42:49Z,2020-03-13T19:56:43Z,,bug
4638,spikedistance=-1: lines are not drawn up to the closest bar in some cases,closed,2020-03-13T18:57:16Z,2024-06-14T13:00:34Z,,bug
4637,fix for spikedistance=-1,closed,2020-03-13T18:54:52Z,2020-03-13T20:05:55Z,,bug
4634,Fix4631 - handle NaN cases to allow breaks on bar-like traces,closed,2020-03-12T17:49:14Z,2020-03-12T18:04:10Z,,"bug, regression"
4631,Bars with NaNs as positions lead to console errors,closed,2020-03-12T13:55:55Z,2020-03-19T18:21:12Z,,"bug, regression"
4629,false z data displayed when hovering over scatter3d on gl3d_wolrd-cals mock,closed,2020-03-11T22:39:55Z,2024-06-17T13:14:14Z,,bug
4628,ScatterGL plot fails with WebGL errors if more than 16 symbols are used.,closed,2020-03-11T19:45:05Z,2024-06-24T13:09:56Z,,"bug, regression"
4627,fix for spikedistance set to infinity,closed,2020-03-11T17:41:00Z,2020-04-03T15:09:28Z,antoinerg,bug
4626,spike lines do not appear when `spikedistance`,closed,2020-03-11T17:24:42Z,2020-03-12T19:10:35Z,,bug
4622,Parcoords brush can be hidden,closed,2020-03-11T12:48:42Z,2024-06-14T13:00:01Z,,"bug, feature"
4612,locale fi download plot as a png button translate not work,closed,2020-03-03T08:57:58Z,2023-09-14T13:44:48Z,,bug
4608,geo pan bug,closed,2020-03-02T00:29:13Z,2024-06-14T12:58:16Z,,bug
4605,Colorbar LaTeX title renders improperly,open,2020-02-27T08:01:15Z,2024-08-09T14:05:31Z,,"bug, P3"
4601,Fix to make identical bundles on different nodes,closed,2020-02-25T02:24:26Z,2020-02-25T15:24:31Z,,bug
4596,In a multi-trace figure the traces that are not animated get invisible when animation starts,closed,2020-02-21T09:45:24Z,2024-07-03T17:28:39Z,,bug
4595,Reset splom selectBatch and unselectBatch on updates,closed,2020-02-20T22:25:43Z,2020-02-20T22:45:04Z,,bug
4591,cannot use several customdata values per data points in go.Pie,open,2020-02-18T23:12:51Z,2024-08-09T14:05:11Z,,"bug, P3"
4589,scatter3d plot with 1.5M points gives RangeError: attempting to construct out-of-bounds TypedArray on ArrayBuffer,closed,2020-02-18T16:35:59Z,2024-06-14T12:57:12Z,,bug
4588,SPLOM deselect not un-highlighting points,closed,2020-02-17T11:48:06Z,2020-02-21T09:13:49Z,etpinard,bug
4580,Ensure text fits inside sunburst sectors with zero values,closed,2020-02-13T05:56:58Z,2020-02-13T15:01:31Z,,bug
4579,Include gl3d scene.aspectmode changes in relayout updates,closed,2020-02-13T04:10:05Z,2020-02-14T14:10:34Z,,bug
4578,Preserve gl3d scene aspectratio after orthographic scroll zoom,closed,2020-02-12T20:12:06Z,2020-02-12T22:11:25Z,,bug
4577,WebGL/scattergl issue in Brave browser,closed,2020-02-12T19:24:41Z,2020-10-26T13:25:12Z,,bug
4573,inconsistent interactive bar display,closed,2020-02-11T23:34:16Z,2020-02-12T15:45:16Z,archmoj,bug
4572,getting warning about too many auto-margin redraws,open,2020-02-11T21:37:58Z,2024-08-30T11:58:53Z,,"bug, P3"
4570,"after panning, a hover label appear above data point close to start position",open,2020-02-11T20:07:41Z,2024-08-09T13:45:02Z,,"bug, P3"
4569,sunburst text does not fit inside for 0-valued sectors,closed,2020-02-11T18:29:46Z,2020-02-13T15:00:35Z,archmoj,bug
4568,Fix for displaying narrow bars in interactive mode,closed,2020-02-10T23:51:28Z,2020-02-12T15:45:27Z,,"bug, regression"
4567,Regression of bar plot axis scaling between 1.51.1 and 1.51.2,closed,2020-02-10T22:43:22Z,2024-05-27T16:05:11Z,archmoj,bug
4566,Fix download images to match live gl3d plot,closed,2020-02-10T20:34:39Z,2020-03-10T15:13:11Z,,bug
4563,Plotly cannot be loaded if Mathjax v3 is already loaded,closed,2020-02-09T13:52:43Z,2022-03-31T19:57:05Z,,bug
4562,Fix orthographic hover after scroll zoom,closed,2020-02-08T20:18:17Z,2020-02-10T15:40:55Z,,bug
4558,Bar length in milliseconds,closed,2020-02-06T21:55:01Z,2020-06-05T03:36:34Z,archmoj,bug
4555,Make notify-on-logging work with newPlot,open,2020-02-06T16:18:26Z,2024-08-08T13:16:57Z,archmoj,"bug, sev-4, P3"
4551,uirevision should preserve `layout.mapbox.center` rather than reverting to `template.layout.mapbox.center` upon subsequent `Plotly.react.calls`,closed,2020-02-04T23:36:10Z,2024-06-14T12:56:53Z,,bug
4550,Gl3d hover not working on mobile and tablet since v1.34.0,closed,2020-02-04T21:09:46Z,2020-11-02T02:56:06Z,,"bug, regression"
4549,Detect correct device in the second attempt to create 3-D scene,closed,2020-02-04T19:38:10Z,2020-07-07T13:53:44Z,,bug
4547,print sankey to PDF introduce artifcats,closed,2020-02-04T06:55:47Z,2024-06-14T12:56:48Z,,bug
4546,Fix 3-D config for webgl buffer on iPad Pro & iPad 7th + iOs v13 + Safari ,closed,2020-02-03T17:50:09Z,2020-02-03T21:08:53Z,,bug
4540,Contour label extra pad and correct minus sign,closed,2020-01-31T21:23:12Z,2020-03-14T00:29:40Z,archmoj,bug
4539,Fix hover of mesh3d traces with face color and face intensity,closed,2020-01-31T19:46:26Z,2020-01-31T20:51:08Z,,bug
4537,Fix waterfall 'closest' hover when cursor is below the size axis,closed,2020-01-31T19:19:07Z,2020-01-31T20:39:57Z,,bug
4534,"Fix hover for mesh3d, isosurface and volume",closed,2020-01-30T23:08:18Z,2020-01-31T16:09:49Z,,"bug, regression"
4533,Mesh3d unable to hover on points positioned on the right side of the scene,closed,2020-01-30T18:55:45Z,2020-01-31T16:09:44Z,archmoj,"bug, regression"
4529,Handle 'missing' matching axes,closed,2020-01-29T22:24:20Z,2020-01-31T16:04:11Z,,bug
4527,Mesh3d: false information displayed on hover when hovertemplate gives cell intensities or facecolor,closed,2020-01-29T11:27:41Z,2020-01-31T20:55:22Z,archmoj,bug
